,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8716,0.8716,0.5621,0.1284,0.1495,0.5137,0.5705,0.459,0.5263
F1,S,0,0,0.249,0.2276,0.2322,0.2592,0.2503,0.1979,0.2185
Gmean,25,0,0,0.5545,0,0.06942,0.5683,0.5576,0.3945,0.5113
B_Acc,C,0.5,0.5,0.5667,0.5,0.512,0.5746,0.5715,0.5132,0.5313
Pre,S,0,0,0.1599,0.1284,0.1314,0.1616,0.1609,0.1201,0.1374
Rec,V,0,0,0.5731,1,1,0.6564,0.5731,0.5872,0.5385
Spe, ,1,1,0.5604,0,0.0241,0.4928,0.5698,0.4391,0.524
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.608,0.602,0.57,0.432,0.504,0.6,0.588,0.544,0.58
F1,S,0.4989,0.4941,0.4781,0.5583,0.5568,0.5499,0.5134,0.4902,0.5063
Gmean,26,0.5706,0.5702,0.551,0.247,0.4967,0.6032,0.5762,0.5389,0.573
B_Acc,C,0.5912,0.5852,0.5597,0.5187,0.5558,0.6041,0.5826,0.5489,0.5747
Pre,S,0.5067,0.4933,0.452,0.4023,0.429,0.4934,0.48,0.4353,0.4697
Rec,V,0.5149,0.5096,0.5145,0.9189,0.7959,0.6226,0.5605,0.5715,0.5509
Spe, ,0.6675,0.6608,0.605,0.1186,0.3157,0.5857,0.6048,0.5264,0.5985
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.848,0.828,0.624,0.452,0.532,0.67,0.67,0.698,0.674
F1,S,0.568,0.5377,0.4247,0.3697,0.39,0.453,0.44,0.4882,0.4615
Gmean,27,0.747,0.7361,0.7035,0.5825,0.6482,0.7332,0.7188,0.7553,0.7392
B_Acc,C,0.7679,0.7509,0.7205,0.6688,0.6911,0.7429,0.7277,0.7646,0.7503
Pre,S,0.5268,0.4731,0.2826,0.2281,0.2475,0.3099,0.3023,0.3441,0.3171
Rec,V,0.65,0.6375,0.8625,0.9875,0.925,0.85,0.8125,0.8625,0.8625
Spe, ,0.8857,0.8643,0.5786,0.35,0.4571,0.6357,0.6429,0.6667,0.6381
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8671,0.8234,0.5578,0.1388,0.3331,0.5636,0.5676,0.5755,0.5617
F1,S,0.1746,0.1774,0.2178,0.1752,0.1926,0.2353,0.211,0.2357,0.2399
Gmean,28,0.3463,0.3751,0.5922,0.1407,0.4815,0.6253,0.5836,0.623,0.6279
B_Acc,C,0.5538,0.5487,0.6003,0.5151,0.5632,0.6346,0.5869,0.629,0.6403
Pre,S,0.2161,0.1646,0.1312,0.09628,0.1087,0.1407,0.1277,0.142,0.1437
Rec,V,0.1689,0.2111,0.6533,0.9778,0.8467,0.7222,0.6111,0.6956,0.7378
Spe, ,0.9388,0.8864,0.5473,0.05246,0.2798,0.547,0.5626,0.5625,0.5429
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8027,0.8218,0.7376,0.203,0.3751,0.6935,0.7452,0.7088,0.7529
F1,S,0.3537,0.4138,0.5387,0.3376,0.3902,0.5328,0.5651,0.5234,0.5567
Gmean,29,0.5003,0.5451,0.7407,0,0.3969,0.7429,0.7623,0.731,0.7528
B_Acc,C,0.616,0.6413,0.7419,0.4955,0.5899,0.7512,0.7639,0.7363,0.7551
Pre,S,0.509,0.6106,0.4219,0.2034,0.2467,0.3897,0.4404,0.3954,0.4413
Rec,V,0.2996,0.3355,0.7489,0.9909,0.9532,0.8494,0.7952,0.7835,0.7585
Spe, ,0.9326,0.947,0.7349,0,0.2265,0.653,0.7325,0.6892,0.7518
